gene	knum
gene_5304	K20103
gene_5305	K20102
gene_5306	K20101
gene_5307	K20100
gene_5308	K20099
gene_5309	K20098
gene_5310	K20097
gene_5311	K20096
gene_5312	K20095
gene_5313	K20094
gene_5314	K20093
gene_5315	K20092
gene_5316	K20091
gene_5317	K20090
gene_5318	K20089
gene_5319	K20088
gene_5320	K20087
gene_5321	K20086
gene_5322	K20085
gene_5323	K20082
gene_5324	K20081
gene_5325	K20080
gene_5326	K20079
gene_5327	K20078
gene_5328	K20077
gene_5329	K20076
gene_5330	K20075
gene_5331	K20074
gene_5332	K20073
gene_5333	K20072
gene_5334	K20071
gene_5335	K20070
gene_5336	K20069
gene_5337	K20068
gene_5338	K20067
gene_5339	K20066
gene_5340	K20065
gene_5341	K20064
gene_5342	K20063
gene_5343	K20062
gene_5344	K20061
gene_5345	K20060
gene_5346	K20059
gene_5347	K20058
gene_5348	K20057
gene_5349	K20056
gene_5350	K20055
gene_5351	K20054
gene_5352	K20053
gene_5353	K20052
gene_5354	K20051
gene_5355	K20050
gene_5356	K20049
gene_5357	K20048
gene_5358	K20047
gene_5359	K20046
gene_5360	K20045
gene_5361	K20044
gene_5362	K20043
gene_5363	K20042
gene_5364	K20041
gene_5365	K20040
gene_5366	K20039
gene_5367	K20038
gene_5368	K20037
gene_5369	K20036
gene_5370	K20035
gene_5371	K20034
gene_5372	K20033
gene_5373	K20032
gene_5374	K20031
gene_5375	K20030
gene_5376	K20029
gene_5377	K20028
gene_5378	K20027
gene_5379	K20026
gene_5380	K20025
gene_5381	K20024
gene_5382	K20023
gene_5383	K20022
gene_5384	K20021
gene_5385	K20020
gene_5386	K20019
gene_5387	K20018
gene_5388	K20017
gene_5389	K20016
gene_5390	K20015
gene_5391	K20014
gene_5392	K20013
gene_5393	K20012
gene_5394	K20011
gene_5395	K20010
gene_5396	K20009
gene_5397	K20008
gene_5398	K20007
gene_5399	K20006
gene_5400	K20005
gene_5401	K20004
gene_5402	K20003
gene_5403	K20002
gene_5404	K20001
gene_5405	K20000
gene_5406	K19999
gene_5407	K19998
gene_5408	K19997
gene_5409	K19996
gene_5410	K19995
gene_5411	K19994
gene_5412	K19993
gene_5413	K19992
gene_5414	K19991
gene_5415	K19990
gene_5416	K19989
gene_5417	K19988
gene_5418	K19987
gene_5419	K19986
gene_5420	K19985
gene_5421	K19984
gene_5422	K19983
gene_5423	K19982
gene_5424	K19981
gene_5425	K19980
gene_5426	K19979
gene_5427	K19978
gene_5428	K19977
gene_5429	K19976
gene_5430	K19975
gene_5431	K19974
gene_5432	K19973
gene_5433	K19972
gene_5434	K19971
gene_5435	K19970
gene_5436	K19969
gene_5437	K19968
gene_5438	K19967
gene_5439	K19966
gene_5440	K19965
gene_5441	K19964
gene_5442	K19963
gene_5443	K19962
gene_5444	K19961
gene_5445	K19960
gene_5446	K19959
gene_5447	K19958
gene_5448	K19957
gene_5449	K19956
gene_5450	K19955
gene_5451	K19954
gene_5452	K19953
gene_5453	K19952
gene_5454	K19951
gene_5455	K19950
gene_5456	K19949
gene_5457	K19948
gene_5458	K19947
gene_5459	K19946
gene_5460	K19945
gene_5461	K19944
gene_5462	K19943
gene_5463	K19942
gene_5464	K19941
gene_5465	K19940
gene_5466	K19939
gene_5467	K19938
gene_5468	K19937
gene_5469	K19936
gene_5470	K19935
gene_5471	K19934
gene_5472	K19933
gene_5473	K19932
gene_5474	K19931
gene_5475	K19930
gene_5476	K19929
gene_5477	K19928
gene_5478	K19927
gene_5479	K19926
gene_5480	K19925
gene_5481	K19924
gene_5482	K19923
gene_5483	K19922
gene_5484	K19921
gene_5485	K19920
gene_5486	K19919
gene_5487	K19918
gene_5488	K19917
gene_5489	K19916
gene_5490	K19915
gene_5491	K19914
gene_5492	K19913
gene_5493	K19912
gene_5494	K19911
gene_5495	K19910
gene_5496	K19909
gene_5497	K19908
gene_5498	K19907
gene_5499	K19906
gene_5500	K19905
gene_5501	K19904
gene_5502	K19903
gene_5503	K19902
gene_5504	K19901
gene_5505	K19900
gene_5506	K19899
gene_5507	K19898
gene_5508	K19897
gene_5509	K19896
gene_5510	K19895
gene_5511	K19894
gene_5512	K19893
gene_5513	K19892
gene_5514	K19891
gene_5515	K19890
gene_5516	K19889
gene_5517	K19888
gene_5518	K19887
gene_5519	K19886
gene_5520	K19885
gene_5521	K19884
gene_5522	K19883
gene_5523	K19882
gene_5524	K19881
gene_5525	K19880
gene_5526	K19879
gene_5527	K19878
gene_5528	K19877
gene_5529	K19876
gene_5530	K19875
gene_5531	K19874
gene_5532	K19873
gene_5533	K19872
gene_5534	K19871
gene_5535	K19870
gene_5536	K19869
gene_5537	K19868
gene_5538	K19867
gene_5539	K19866
gene_5540	K19865
gene_5541	K19864
gene_5542	K19863
gene_5543	K19862
gene_5544	K19861
gene_5545	K19860
gene_5546	K19859
gene_5547	K19858
gene_5548	K19857
gene_5549	K19856
gene_5550	K19855
gene_5551	K19854
gene_5552	K19853
gene_5553	K19852
gene_5554	K19851
gene_5555	K19850
gene_5556	K19849
gene_5557	K19848
gene_5558	K19847
gene_5559	K19846
gene_5560	K19845
gene_5561	K19844
gene_5562	K19843
gene_5563	K19842
gene_5564	K19841
gene_5565	K19840
gene_5566	K19839
gene_5567	K19838
gene_5568	K19837
gene_5569	K19836
gene_5570	K19835
gene_5571	K19834
gene_5572	K19833
gene_5573	K19832
gene_5574	K19831
gene_5575	K19830
gene_5576	K19829
gene_5577	K19828
gene_5578	K19827
gene_5579	K19826
gene_5580	K19825
gene_5581	K19824
gene_5582	K19823
gene_5583	K19822
gene_5584	K19821
gene_5585	K19820
gene_5586	K19819
gene_5587	K19818
gene_5588	K19817
gene_5589	K19816
gene_5590	K19815
gene_5591	K19814
gene_5592	K19813
gene_5593	K19812
gene_5594	K19811
gene_5595	K19810
gene_5596	K19809
gene_5597	K19808
gene_5598	K19807
gene_5599	K19806
gene_5600	K19805
gene_5601	K19804
gene_5602	K19803
gene_5603	K19802
gene_5604	K19801
gene_5605	K19800
gene_5606	K19799
gene_5607	K19798
gene_5608	K19797
gene_5609	K19796
gene_5610	K19795
gene_5611	K19794
gene_5612	K19793
gene_5613	K19792
gene_5614	K19791
gene_5615	K19790
gene_5616	K19789
gene_5617	K19788
gene_5618	K19787
gene_5619	K19786
gene_5620	K19785
gene_5621	K19784
gene_5622	K19783
gene_5623	K19782
gene_5624	K19781
gene_5625	K19780
gene_5626	K19779
gene_5627	K19778
gene_5628	K19777
gene_5629	K19776
gene_5630	K19775
gene_5631	K19774
gene_5632	K19773
gene_5633	K19772
gene_5634	K19771
gene_5635	K19770
gene_5636	K19769
gene_5637	K19768
gene_5638	K19767
gene_5639	K19766
gene_5640	K19765
gene_5641	K19764
gene_5642	K19763
gene_5643	K19762
gene_5644	K19761
gene_5645	K19760
gene_5646	K19759
gene_5647	K19758
gene_5648	K19757
gene_5649	K19756
gene_5650	K19755
gene_5651	K19754
gene_5652	K19753
gene_5653	K19752
gene_5654	K19751
gene_5655	K19750
gene_5656	K19749
gene_5657	K19748
gene_5658	K19747
gene_5659	K19746
gene_5660	K19745
gene_5661	K19744
gene_5662	K19743
gene_5663	K19742
gene_5664	K19741
gene_5665	K19740
gene_5666	K19739
gene_5667	K19738
gene_5668	K19737
gene_5669	K19736
gene_5670	K19735
gene_5671	K19734
gene_5672	K19733
gene_5673	K19732
gene_5674	K19731
gene_5675	K19730
gene_5676	K19729
gene_5677	K19728
gene_5678	K19727
gene_5679	K19726
gene_5680	K19725
gene_5681	K19724
gene_5682	K19723
gene_5683	K19722
gene_5684	K19721
gene_5685	K19720
gene_5686	K19719
gene_5687	K19718
gene_5688	K19717
gene_5689	K19716
gene_5690	K19715
gene_5691	K19714
gene_5692	K19713
gene_5693	K19712
gene_5694	K19711
gene_5695	K19710
gene_5696	K19709
gene_5697	K19708
gene_5698	K19707
gene_5699	K19706
gene_5700	K19705
gene_5701	K19704
gene_5702	K19703
gene_5703	K19702
gene_5704	K19701
gene_5705	K19700
gene_5706	K19699
gene_5707	K19698
gene_5708	K19697
gene_5709	K19696
gene_5710	K19695
gene_5711	K19694
gene_5712	K19693
gene_5713	K19692
gene_5714	K19691
gene_5715	K19690
gene_5716	K19689
gene_5717	K19688
gene_5718	K19687
gene_5719	K19686
gene_5720	K19685
gene_5721	K19684
gene_5722	K19683
gene_5723	K19682
gene_5724	K19681
gene_5725	K19680
gene_5726	K19679
gene_5727	K19678
gene_5728	K19677
gene_5729	K19676
gene_5730	K19675
gene_5731	K19674
gene_5732	K19673
gene_5733	K19672
gene_5734	K19671
gene_5735	K19670
gene_5736	K19669
gene_5737	K19668
gene_5738	K19667
gene_5739	K19666
gene_5740	K19665
gene_5741	K19664
gene_5742	K19663
gene_5743	K19662
gene_5744	K19661
gene_5745	K19660
gene_5746	K19659
gene_5747	K19658
gene_5748	K19657
gene_5749	K19656
gene_5750	K19655
gene_5751	K19654
gene_5752	K19653
gene_5753	K19652
gene_5754	K19651
gene_5755	K19650
gene_5756	K19649
gene_5757	K19648
gene_5758	K19647
gene_5759	K19646
gene_5760	K19645
gene_5761	K19644
gene_5762	K19643
gene_5763	K19642
gene_5764	K19641
gene_5765	K19640
gene_5766	K19639
gene_5767	K19638
gene_5768	K19637
gene_5769	K19636
gene_5770	K19635
gene_5771	K19634
gene_5772	K19633
gene_5773	K19632
gene_5774	K19631
gene_5775	K19630
gene_5776	K19629
gene_5777	K19628
gene_5778	K19627
gene_5779	K19626
gene_5780	K19625
gene_5781	K19624
gene_5782	K19623
gene_5783	K19622
gene_5784	K19621
gene_5785	K19620
gene_5786	K19619
gene_5787	K19618
gene_5788	K19617
gene_5789	K19616
gene_5790	K19615
gene_5791	K19614
gene_5792	K19613
gene_5793	K19612
gene_5794	K19611
gene_5795	K19610
gene_5796	K19609
gene_5797	K19608
gene_5798	K19607
gene_5799	K19606
gene_5800	K19605
gene_5801	K19604
gene_5802	K19603
gene_5803	K19602
gene_5804	K19601
gene_5805	K19600
gene_5806	K19599
gene_5807	K19598
gene_5808	K19597
gene_5809	K19596
gene_5810	K19595
gene_5811	K19594
gene_5812	K19593
gene_5813	K19592
gene_5814	K19591
gene_5815	K19590
gene_5816	K19589
gene_5817	K19588
gene_5818	K19587
gene_5819	K19586
gene_5820	K19585
gene_5821	K19584
gene_5822	K19583
gene_5823	K19582
gene_5824	K19581
gene_5825	K19580
gene_5826	K19579
gene_5827	K19578
gene_5828	K19577
gene_5829	K19576
gene_5830	K19575
gene_5831	K19574
gene_5832	K19573
gene_5833	K19572
gene_5834	K19571
gene_5835	K19570
gene_5836	K19569
gene_5837	K19568
gene_5838	K19567
gene_5839	K19566
gene_5840	K19565
gene_5841	K19564
gene_5842	K19563
gene_5843	K19562
gene_5844	K19561
gene_5845	K19560
gene_5846	K19559
gene_5847	K19558
gene_5848	K19557
gene_5849	K19556
gene_5850	K19555
gene_5851	K19554
gene_5852	K19553
gene_5853	K19552
gene_5854	K19551
gene_5855	K19550
gene_5856	K19549
gene_5857	K19548
gene_5858	K19547
gene_5859	K19546
gene_5860	K19545
gene_5861	K19544
gene_5862	K19543
gene_5863	K19542
gene_5864	K19541
gene_5865	K19540
gene_5866	K19539
gene_5867	K19538
gene_5868	K19537
gene_5869	K19536
gene_5870	K19535
gene_5871	K19534
gene_5872	K19533
gene_5873	K19532
gene_5874	K19531
gene_5875	K19530
gene_5876	K19529
gene_5877	K19528
gene_5878	K19527
gene_5879	K19526
gene_5880	K19525
gene_5881	K19524
gene_5882	K19523
gene_5883	K19522
gene_5884	K19521
gene_5885	K19520
gene_5886	K19519
gene_5887	K19518
gene_5888	K19517
gene_5889	K19516
gene_5890	K19515
gene_5891	K19514
gene_5892	K19513
gene_5893	K19512
gene_5894	K19511
gene_5895	K19510
gene_5896	K19509
gene_5897	K19508
gene_5898	K19507
gene_5899	K19506
gene_5900	K19505
gene_5901	K19504
gene_5902	K19503
gene_5903	K19502
gene_5904	K19501
gene_5905	K19500
gene_5906	K19499
gene_5907	K19498
gene_5908	K19497
gene_5909	K19496
gene_5910	K19495
gene_5911	K19494
gene_5912	K19493
gene_5913	K19492
gene_5914	K19491
gene_5915	K19490
gene_5916	K19489
gene_5917	K19488
gene_5918	K19487
gene_5919	K19486
gene_5920	K19485
gene_5921	K19484
gene_5922	K19483
gene_5923	K19482
gene_5924	K19481
gene_5925	K19480
gene_5926	K19479
gene_5927	K19478
gene_5928	K19477
gene_5929	K19476
gene_5930	K19475
gene_5931	K19474
gene_5932	K19473
gene_5933	K19472
gene_5934	K19471
gene_5935	K19470
gene_5936	K19469
gene_5937	K19467
gene_5938	K19466
gene_5939	K19465
gene_5940	K19464
gene_5941	K19463
gene_5942	K19462
gene_5943	K19461
gene_5944	K19460
gene_5945	K19459
gene_5946	K19458
gene_5947	K19457
gene_5948	K19456
gene_5949	K19455
gene_5950	K19454
gene_5951	K19453
gene_5952	K19452
gene_5953	K19451
gene_5954	K19450
gene_5955	K19449
gene_5956	K19448
gene_5957	K19447
gene_5958	K19446
gene_5959	K19445
gene_5960	K19444
gene_5961	K19443
gene_5962	K19442
gene_5963	K19441
gene_5964	K19440
gene_5965	K19439
gene_5966	K19438
gene_5967	K19437
gene_5968	K19436
gene_5969	K19435
gene_5970	K19434
gene_5971	K19433
gene_5972	K19432
gene_5973	K19431
gene_5974	K19430
gene_5975	K19429
gene_5976	K19428
gene_5977	K19427
gene_5978	K19426
gene_5979	K19425
gene_5980	K19424
gene_5981	K19423
gene_5982	K19422
gene_5983	K19421
gene_5984	K19420
gene_5985	K19419
gene_5986	K19418
gene_5987	K19417
gene_5988	K19416
gene_5989	K19415
gene_5990	K19414
gene_5991	K19413
gene_5992	K19412
gene_5993	K19411
gene_5994	K19410
gene_5995	K19409
gene_5996	K19408
gene_5997	K19407
gene_5998	K19406
gene_5999	K19405
gene_6000	K19404
gene_6001	K19403
gene_6002	K19402
gene_6003	K19401
gene_6004	K19400
gene_6005	K19399
gene_6006	K19398
gene_6007	K19397
gene_6008	K19396
gene_6009	K19395
gene_6010	K19394
gene_6011	K19393
gene_6012	K19392
gene_6013	K19391
gene_6014	K19390
gene_6015	K19389
gene_6016	K19388
gene_6017	K19387
gene_6018	K19386
gene_6019	K19385
gene_6020	K19384
gene_6021	K19383
gene_6022	K19382
gene_6023	K19381
gene_6024	K19380
gene_6025	K19379
gene_6026	K19378
gene_6027	K19377
gene_6028	K19376
gene_6029	K19375
gene_6030	K19374
gene_6031	K19373
gene_6032	K19372
gene_6033	K19371
gene_6034	K19370
gene_6035	K19369
gene_6036	K19368
gene_6037	K19367
gene_6038	K19366
gene_6039	K19365
gene_6040	K19364
gene_6041	K19363
gene_6042	K19362
gene_6043	K19361
gene_6044	K19360
gene_6045	K19358
gene_6046	K19357
gene_6047	K19356
gene_6048	K19355
gene_6049	K19354
gene_6050	K19353
gene_6051	K19352
gene_6052	K19351
gene_6053	K19350
gene_6054	K19349
gene_6055	K19348
gene_6056	K19347
gene_6057	K19346
gene_6058	K19345
gene_6059	K19344
gene_6060	K19343
gene_6061	K19342
gene_6062	K19341
gene_6063	K19340
gene_6064	K19339
gene_6065	K19338
gene_6066	K19337
gene_6067	K19336
gene_6068	K19335
gene_6069	K19334
gene_6070	K19333
gene_6071	K19332
gene_6072	K19331
gene_6073	K19330
gene_6074	K19329
gene_6075	K19328
gene_6076	K19327
gene_6077	K19326
gene_6078	K19325
gene_6079	K19324
gene_6080	K19323
gene_6081	K19322
gene_6082	K19321
gene_6083	K19320
gene_6084	K19319
gene_6085	K19318
gene_6086	K19317
gene_6087	K19316
gene_6088	K19315
gene_6089	K19314
gene_6090	K19313
gene_6091	K19312
gene_6092	K19311
gene_6093	K19310
gene_6094	K19309
gene_6095	K19308
gene_6096	K19307
gene_6097	K19306
gene_6098	K19305
gene_6099	K19304
gene_6100	K19303
gene_6101	K19302
gene_6102	K19301
gene_6103	K19300
gene_6104	K19299
gene_6105	K19298
gene_6106	K19297
gene_6107	K19296
gene_6108	K19295
gene_6109	K19294
gene_6110	K19293
gene_6111	K19292
gene_6112	K19291
gene_6113	K19290
gene_6114	K19289
gene_6115	K19288
gene_6116	K19287
gene_6117	K19286
gene_6118	K19285
gene_6119	K19284
gene_6120	K19283
gene_6121	K19282
gene_6122	K19281
gene_6123	K19280
gene_6124	K19279
gene_6125	K19278
gene_6126	K19277
gene_6127	K19276
gene_6128	K19275
gene_6129	K19274
gene_6130	K19273
gene_6131	K19272
gene_6132	K19271
gene_6133	K19270
gene_6134	K19269
gene_6135	K19268
gene_6136	K19267
gene_6137	K19266
gene_6138	K19265
gene_6139	K19264
gene_6140	K19263
gene_6141	K19262
gene_6142	K19261
gene_6143	K19260
gene_6144	K19259
gene_6145	K19258
gene_6146	K19257
gene_6147	K19256
gene_6148	K19255
gene_6149	K19254
gene_6150	K19253
gene_6151	K19252
gene_6152	K19251
gene_6153	K19250
gene_6154	K19249
gene_6155	K19248
gene_6156	K19247
gene_6157	K19246
gene_6158	K19245
gene_6159	K19244
gene_6160	K19243
gene_6161	K19242
gene_6162	K19241
gene_6163	K19240
gene_6164	K19239
gene_6165	K19238
gene_6166	K19237
gene_6167	K19236
gene_6168	K19235
gene_6169	K19234
gene_6170	K19233
gene_6171	K19232
gene_6172	K19231
gene_6173	K19230
gene_6174	K19229
gene_6175	K19228
gene_6176	K19227
gene_6177	K19226
gene_6178	K19225
gene_6179	K19224
gene_6180	K19223
gene_6181	K19222
gene_6182	K19221
gene_6183	K19220
gene_6184	K19219
gene_6185	K19218
gene_6186	K19217
gene_6187	K19216
gene_6188	K19215
gene_6189	K19214
gene_6190	K19213
gene_6191	K19212
gene_6192	K19211
gene_6193	K19210
gene_6194	K19209
gene_6195	K19208
gene_6196	K19207
gene_6197	K19206
gene_6198	K19205
gene_6199	K19204
gene_6200	K19203
gene_6201	K19202
gene_6202	K19201
gene_6203	K19200
gene_6204	K19199
gene_6205	K19198
gene_6206	K19197
gene_6207	K19196
gene_6208	K19195
gene_6209	K19194
gene_6210	K19193
gene_6211	K19192
gene_6212	K19191
gene_6213	K19190
gene_6214	K19189
gene_6215	K19188
gene_6216	K19187
gene_6217	K19186
gene_6218	K19185
gene_6219	K19184
gene_6220	K19183
gene_6221	K19182
gene_6222	K19181
gene_6223	K19180
gene_6224	K19179
gene_6225	K19178
gene_6226	K19177
gene_6227	K19176
gene_6228	K19175
gene_6229	K19174
gene_6230	K19173
gene_6231	K19172
gene_6232	K19171
gene_6233	K19170
gene_6234	K19169
gene_6235	K19168
gene_6236	K19167
gene_6237	K19166
gene_6238	K19165
gene_6239	K19164
gene_6240	K19163
gene_6241	K19162
gene_6242	K19161
gene_6243	K19160
gene_6244	K19159
gene_6245	K19158
gene_6246	K19157
gene_6247	K19156
gene_6248	K19155
gene_6249	K19154
gene_6250	K19153
gene_6251	K19152
gene_6252	K19151
gene_6253	K19150
gene_6254	K19149
gene_6255	K19148
gene_6256	K19147
gene_6257	K19146
gene_6258	K19145
gene_6259	K19144
gene_6260	K19143
gene_6261	K19142
gene_6262	K19141
gene_6263	K19140
gene_6264	K19139
gene_6265	K19138
gene_6266	K19137
gene_6267	K19136
gene_6268	K19135
gene_6269	K19134
gene_6270	K19133
gene_6271	K19132
gene_6272	K19131
gene_6273	K19130
gene_6274	K19129
gene_6275	K19128
gene_6276	K19127
gene_6277	K19126
gene_6278	K19125
gene_6279	K19124
gene_6280	K19123
gene_6281	K19122
gene_6282	K19121
gene_6283	K19120
gene_6284	K19119
gene_6285	K19118
gene_6286	K19117
gene_6287	K19116
gene_6288	K19115
gene_6289	K19114
gene_6290	K19113
gene_6291	K19112
gene_6292	K19111
gene_6293	K19110
gene_6294	K19109
gene_6295	K19108
gene_6296	K19107
gene_6297	K19106
gene_6298	K19105
gene_6299	K19104
gene_6300	K19103
gene_6301	K19102
gene_6302	K19101
gene_6303	K19100
gene_6304	K19099
gene_6305	K19098
gene_6306	K19097
gene_6307	K19096
gene_6308	K19095
gene_6309	K19094
gene_6310	K19093
gene_6311	K19092
gene_6312	K19091
gene_6313	K19090
gene_6314	K19089
gene_6315	K19088
gene_6316	K19087
gene_6317	K19086
gene_6318	K19085
gene_6319	K19084
gene_6320	K19083
gene_6321	K19082
gene_6322	K19081
gene_6323	K19080
gene_6324	K19079
gene_6325	K19078
gene_6326	K19077
gene_6327	K19076
gene_6328	K19075
gene_6329	K19074
gene_6330	K19073
gene_6331	K19072
gene_6332	K19071
gene_6333	K19070
gene_6334	K19069
gene_6335	K19068
gene_6336	K19067
gene_6337	K19066
gene_6338	K19065
gene_6339	K19064
gene_6340	K19063
gene_6341	K19062
gene_6342	K19061
gene_6343	K19060
gene_6344	K19059
gene_6345	K19058
gene_6346	K19057
gene_6347	K19056
gene_6348	K19055
gene_6349	K19054
gene_6350	K19053
gene_6351	K19052
gene_6352	K19051
gene_6353	K19050
gene_6354	K19049
gene_6355	K19048
gene_6356	K19047
gene_6357	K19046
gene_6358	K19045
gene_6359	K19044
gene_6360	K19043
gene_6361	K19042
gene_6362	K19041
gene_6363	K19040
gene_6364	K19039
gene_6365	K19038
gene_6366	K19037
gene_6367	K19036
gene_6368	K19035
gene_6369	K19034
gene_6370	K19033
gene_6371	K19032
gene_6372	K19031
gene_6373	K19030
gene_6374	K19029
gene_6375	K19028
gene_6376	K19027
gene_6377	K19026
gene_6378	K19025
gene_6379	K19024
gene_6380	K19023
gene_6381	K19022
gene_6382	K19021
gene_6383	K19020
gene_6384	K19019
gene_6385	K19018
gene_6386	K19017
gene_6387	K19016
gene_6388	K19015
gene_6389	K19014
gene_6390	K19013
gene_6391	K19012
gene_6392	K19011
gene_6393	K19010
gene_6394	K19009
gene_6395	K19008
gene_6396	K19007
gene_6397	K19006
gene_6398	K19005
gene_6399	K19004
gene_6400	K19003
gene_6401	K19002
gene_6402	K19001
gene_6403	K19000
gene_6404	K18999
gene_6405	K18998
gene_6406	K18997
gene_6407	K18996
gene_6408	K18995
gene_6409	K18994
gene_6410	K18993
gene_6411	K18992
gene_6412	K18991
gene_6413	K18990
gene_6414	K18989
gene_6415	K18988
gene_6416	K18987
gene_6417	K18986
gene_6418	K18985
gene_6419	K18984
gene_6420	K18983
gene_6421	K18982
gene_6422	K18981
gene_6423	K18980
gene_6424	K18979
gene_6425	K18978
gene_6426	K18977
gene_6427	K18976
gene_6428	K18975
gene_6429	K18974
gene_6430	K18973
gene_6431	K18972
gene_6432	K18971
gene_6433	K18970
gene_6434	K18969
gene_6435	K18968
gene_6436	K18967
gene_6437	K18966
gene_6438	K18964
gene_6439	K18963
gene_6440	K18962
gene_6441	K18961
gene_6442	K18960
gene_6443	K18959
gene_6444	K18958
gene_6445	K18957
gene_6446	K18956
gene_6447	K18955
gene_6448	K18954
gene_6449	K18953
gene_6450	K18952
gene_6451	K18951
gene_6452	K18950
gene_6453	K18949
gene_6454	K18948
gene_6455	K18947
gene_6456	K18946
gene_6457	K18945
gene_6458	K18944
gene_6459	K18943
gene_6460	K18942
gene_6461	K18941
gene_6462	K18940
gene_6463	K18939
gene_6464	K18938
gene_6465	K18937
gene_6466	K18936
gene_6467	K18935
gene_6468	K18934
gene_6469	K18933
gene_6470	K18932
gene_6471	K18931
gene_6472	K18930
gene_6473	K18929
gene_6474	K18928
gene_6475	K18927
gene_6476	K18926
gene_6477	K18925
gene_6478	K18924
gene_6479	K18923
gene_6480	K18922
gene_6481	K18921
gene_6482	K18920
gene_6483	K18919
gene_6484	K18918
gene_6485	K18917
gene_6486	K18916
gene_6487	K18915
gene_6488	K18914
gene_6489	K18913
gene_6490	K18912
gene_6491	K18911
gene_6492	K18910
gene_6493	K18909
gene_6494	K18908
gene_6495	K18907
gene_6496	K18906
gene_6497	K18905
gene_6498	K18904
gene_6499	K18903
gene_6500	K18902
gene_6501	K18901
gene_6502	K18900
gene_6503	K18899
gene_6504	K18898
gene_6505	K18897
gene_6506	K18896
gene_6507	K18895
gene_6508	K18894
gene_6509	K18893
gene_6510	K18892
gene_6511	K18891
gene_6512	K18890
gene_6513	K18889
gene_6514	K18888
gene_6515	K18887
gene_6516	K18886
gene_6517	K18885
gene_6518	K18884
gene_6519	K18883
gene_6520	K18882
gene_6521	K18881
gene_6522	K18880
gene_6523	K18879
gene_6524	K18878
gene_6525	K18877
gene_6526	K18876
gene_6527	K18875
gene_6528	K18874
gene_6529	K18873
gene_6530	K18872
gene_6531	K18871
gene_6532	K18870
gene_6533	K18869
gene_6534	K18868
gene_6535	K18867
gene_6536	K18866
gene_6537	K18865
gene_6538	K18864
gene_6539	K18863
gene_6540	K18862
gene_6541	K18861
gene_6542	K18860
gene_6543	K18859
gene_6544	K18858
gene_6545	K18857
gene_6546	K18856
gene_6547	K18855
gene_6548	K18854
gene_6549	K18853
gene_6550	K18852
gene_6551	K18851
gene_6552	K18850
gene_6553	K18849
gene_6554	K18848
gene_6555	K18847
gene_6556	K18846
gene_6557	K18845
gene_6558	K18844
gene_6559	K18843
gene_6560	K18842
gene_6561	K18841
gene_6562	K18840
gene_6563	K18839
gene_6564	K18838
gene_6565	K18837
gene_6566	K18836
gene_6567	K18835
gene_6568	K18834
gene_6569	K18833
gene_6570	K18832
gene_6571	K18831
gene_6572	K18830
gene_6573	K18829
gene_6574	K18828
gene_6575	K18827
gene_6576	K18826
gene_6577	K18825
gene_6578	K18824
gene_6579	K18823
gene_6580	K18822
gene_6581	K18821
gene_6582	K18820
gene_6583	K18819
gene_6584	K18818
gene_6585	K18817
gene_6586	K18816
gene_6587	K18815
gene_6588	K18814
gene_6589	K18813
gene_6590	K18812
gene_6591	K18811
gene_6592	K18810
gene_6593	K18809
gene_6594	K18808
gene_6595	K18807
gene_6596	K18806
gene_6597	K18804
gene_6598	K18803
gene_6599	K18802
gene_6600	K18801
gene_6601	K18800
gene_6602	K18799
gene_6603	K18798
gene_6604	K18797
gene_6605	K18796
gene_6606	K18795
gene_6607	K18794
gene_6608	K18793
gene_6609	K18792
gene_6610	K18791
gene_6611	K18790
gene_6612	K18789
gene_6613	K18788
gene_6614	K18787
gene_6615	K18786
gene_6616	K18785
gene_6617	K18784
gene_6618	K18783
gene_6619	K18782
gene_6620	K18781
gene_6621	K18780
gene_6622	K18779
gene_6623	K18778
gene_6624	K18777
gene_6625	K18776
gene_6626	K18775
gene_6627	K18774
gene_6628	K18773
gene_6629	K18772
gene_6630	K18770
gene_6631	K18769
gene_6632	K18768
gene_6633	K18767
gene_6634	K18766
gene_6635	K18765
gene_6636	K18764
gene_6637	K18763
gene_6638	K18762
gene_6639	K18761
gene_6640	K18760
gene_6641	K18759
gene_6642	K18758
gene_6643	K18757
gene_6644	K18756
gene_6645	K18755
gene_6646	K18754
gene_6647	K18753
gene_6648	K18752
gene_6649	K18751
gene_6650	K18750
gene_6651	K18749
gene_6652	K18748
gene_6653	K18747
gene_6654	K18746
gene_6655	K18745
gene_6656	K18744
gene_6657	K18743
gene_6658	K18742
gene_6659	K18741
gene_6660	K18740
gene_6661	K18739
gene_6662	K18738
gene_6663	K18737
gene_6664	K18736
gene_6665	K18735
gene_6666	K18734
gene_6667	K18733
gene_6668	K18732
gene_6669	K18731
gene_6670	K18730
gene_6671	K18729
gene_6672	K18728
gene_6673	K18727
gene_6674	K18726
gene_6675	K18725
gene_6676	K18724
gene_6677	K18723
gene_6678	K18722
gene_6679	K18721
gene_6680	K18720
gene_6681	K18719
gene_6682	K18718
gene_6683	K18717
gene_6684	K18716
gene_6685	K18715
gene_6686	K18714
gene_6687	K18713
gene_6688	K18712
gene_6689	K18711
gene_6690	K18710
gene_6691	K18709
gene_6692	K18708
gene_6693	K18707
gene_6694	K18706
gene_6695	K18705
gene_6696	K18704
gene_6697	K18703
gene_6698	K18702
gene_6699	K18701
gene_6700	K18700
gene_6701	K18699
gene_6702	K18698
